DateTime,AddedIPs,RemovedIPs
1592099771,57,56
1592101687,62,56
1592103622,57,63
1592105533,62,56
1592107453,66,61
1592111303,59,67
1592113208,70,62
1592115144,65,66
1592117052,63,65
1592118973,60,65
1592120903,55,59
1592122809,43,60
1592124728,73,43
1592126664,56,71
1592128569,68,55
1592130489,61,69
1592132422,70,61
1592134334,41,71
1592136500,54,37
1592138653,53,56
1592140596,66,56
1592142989,71,63
1592144891,46,74
1592146839,13,45
1592148732,7,14
1592150895,23,7
1592154741,68,22
1592156648,58,63
1592158567,62,58
1592160499,60,62
1592162404,61,61
1592164326,49,62
1592166262,54,49
1592168165,58,55
1592170088,60,56
1592173932,70,63
1592176097,55,64
1592178015,61,56
1592179943,68,65
1592181850,60,63
1592183788,64,60
1592185689,64,67
1592187607,65,63
1592189542,65,65
1592191450,62,68
1592193370,52,58
1592195303,63,54
1592197212,74,67
1592201312,52,73
1592203207,53,48
1592205127,66,52
1592207064,64,72
1592208965,38,64
1592210887,64,37
1592212820,59,65
1592214730,56,55
1592216648,44,57
1592218581,57,46
1592220489,48,58
1592222413,63,44
1592224347,62,62
1592226512,59,63
1592228409,55,56
1592230328,50,54
1592232563,42,56
1592236565,50,44
1592238484,59,49
1592240413,68,58
1592242347,72,65
1592244250,57,70
1592246167,64,59
1592250005,62,64
1592252171,68,63
1592254088,71,67
1592256021,62,74
1592257931,57,59
1592259847,50,61
1592261782,63,46
1592263685,54,65
1592265615,57,51
1592267549,60,60
1592269453,73,60
1592271367,65,74
1592273310,55,61
1592275208,48,57
1592277129,61,44
1592279063,55,60
1592280969,52,56
1592282884,53,51
1592284825,51,55
1592286726,60,55
1592288668,61,61
1592290565,56,59
1592292490,53,60
1592294435,44,48
1592296332,57,45
1592298496,44,60
1592300410,39,43
1592302344,38,39
1592304248,30,40
1592306166,45,28
1592308100,35,44
1592310007,37,37
1592311925,48,37
1592313864,38,49
1592315766,64,38
1592317935,50,61
1592319856,43,48
1592321782,47,45
1592323696,49,47
1592325607,70,51
1592327545,46,71
1592329449,58,42
1592331367,61,60
1592333285,69,61
1592335210,73,67
1592337124,67,74
1592339048,63,67
1592340980,69,63
1592342886,68,71
1592344817,59,63
1592346743,67,57
1592348649,68,70
1592350568,55,68
1592352761,61,56
1592354650,75,64
1592356565,65,76
1592358508,61,63
1592360406,52,60
1592362327,70,53
1592364272,66,72
1592366165,66,62
1592368084,62,65
1592370041,59,61
1592371932,39,57
1592373927,42,38
1592376033,60,46
1592377931,59,61
1592379848,54,56
1592381791,30,58
1592383686,23,31
1592385632,42,24
1592387529,48,36
1592389452,36,53
1592391391,52,36
1592393289,33,49
1592395216,48,35
1592397136,44,49
1592399050,47,39
1592400992,37,49
1592402891,44,37
1592404806,46,44
1592406755,51,46
1592408646,57,49
1592410810,59,55
1592412728,65,62
1592414673,53,70
1592416567,59,52
1592418486,64,59
1592420438,59,62
1592422334,59,62
1592424249,60,57
1592426191,64,59
1592428094,66,64
1592430277,58,65
1592432170,57,63
1592434087,61,55
1592436033,58,56
1592437930,53,56
1592439848,52,53
1592441781,59,55
1592443685,62,63
1592445615,70,61
1592447544,57,66
1592449711,55,50
1592451607,57,62
1592455466,64,61
1592457370,57,60
1592459286,52,57
1592461209,69,56
1592463126,63,64
1592465062,62,67
1592466966,60,61
1592468885,45,62
1592470838,73,47
1592472730,63,70
1592474894,15,64
1592476811,68,19
1592478742,39,66
1592480648,66,36
1592482566,57,65
1592484501,61,61
1592486406,49,59
1592488325,64,46
1592490265,52,67
1592492196,66,55
1592494088,41,65
1592496026,37,39
1592497932,57,37
1592500094,55,57
1592502008,62,58
1592503941,63,54
1592505847,55,65
1592507768,68,61
1592509702,41,68
1592511606,40,39
1592513627,43,40
1592515471,31,45
1592517366,44,31
1592519582,49,41
1592521753,39,48
1592523607,50,36
1592525791,59,55
1592527699,67,55
1592529609,61,66
1592531544,56,61
1592533449,67,60
1592535370,66,65
1592537303,61,69
1592539254,61,56
1592543057,52,57
1592545032,51,58
1592546990,46,50
1592548811,48,50
1592550731,34,47
1592552671,60,31
1592554571,66,58
1592556543,58,70
1592558431,50,56
1592560333,62,54
1592562257,50,60
1592564185,49,53
1592566091,45,46
1592568094,52,44
1592569951,52,50
1592571851,55,50
1592573771,63,61
1592575713,56,58
1592577617,58,61
1592579536,58,56
1592581472,54,62
1592583370,64,53
1592585289,61,61
1592587226,63,62
1592589134,59,66
1592591049,29,58
1592592989,66,30
1592594889,65,64
1592596814,59,60
1592598754,55,60
1592600652,57,52
1592602571,65,60
1592604517,66,66
1592606409,54,64
1592608333,57,53
1592610278,50,58
1592612174,59,54
1592617931,64,59
1592620098,58,62
1592622035,61,55
1592623932,47,61
1592629949,61,50
1592631849,59,62
1592633796,49,60
1592637609,34,49
1592639553,46,32
1592641450,54,47
1592643369,54,52
1592645306,63,57
1592647211,52,60
1592649149,56,50
1592651056,57,58
1592652972,58,59
1592655157,64,60
1592659273,60,62
1592663078,52,63
1592664979,59,44
1592667209,57,65
1592669068,54,52
1592670967,58,58
1592672891,57,58
1592674825,55,53
1592676737,61,60
1592678652,59,61
1592680585,42,59
1592682489,66,43
1592684424,64,66
1592688250,61,63
1592690185,55,58
1592692089,58,57
1592694019,40,53
1592695947,60,46
1592700011,54,58
1592701932,59,57
1592703869,60,59
1592705772,58,60
1592707691,52,53
1592712112,49,52
1592713943,52,48
1592715852,62,54
1592717798,51,62
1592719694,26,52
1592721608,65,27
1592723551,57,69
1592725451,45,54
1592727367,28,45
1592729311,38,27
1592731210,55,44
1592733131,42,46
1592735071,50,46
