DateTime,AddedIPs,RemovedIPs
1591817545,1,3
1591819711,3,0
1591821615,3,2
1591823530,0,1
1591825481,2,0
1591827367,1,1
1591829290,0,2
1591833135,1,3
1591835049,0,1
1591836984,0,2
1591838886,1,8
1591841772,1,20
1591843691,2,1
1591845620,0,3
1591847529,1,0
1591849454,1,0
1591851379,1,0
1591853290,1,1
1591856166,1,2
1591858345,1,1
1591862182,1,2
1591864092,4,1
1591866974,4,1
1591868886,0,2
1591876583,2,0
1591878489,0,4
1591881369,1,1
1591883313,2,0
1591885210,2,1
1591889064,4,2
1591890998,3,3
1591893259,2,1
1591895072,0,1
1591896973,1,0
1591898894,2,2
1591900821,2,2
1591902735,1,0
1591904650,1,2
1591906577,0,5
1591908497,1,1
1591910424,2,0
1591912330,2,3
1591914261,1,0
1591916215,2,0
1591918089,1,0
1591920974,0,1
1591924808,1,1
1591926730,0,1
1591928662,1,2
1591930572,1,0
1591932486,0,1
1591934510,1,0
1591936335,0,2
1591938496,0,2
1591940417,1,1
1591942344,1,0
1591944298,1,0
1591946171,1,1
1591948104,2,1
1591950009,2,4
1591951946,0,2
1591953864,2,2
1591960820,2,0
1591962731,2,1
1591964666,0,1
1591966573,1,1
1591968488,1,0
1591971372,1,4
1591973311,4,0
1591975206,1,4
1591977143,1,1
1591979061,0,4
1591985772,1,4
1591989623,1,1
1591991530,1,1
1591993447,1,2
1591997288,3,3
1591999257,0,2
1592001141,0,1
1592003340,0,2
1592005208,1,0
1592010970,0,1
1592012907,1,0
1592014812,0,1
1592016733,1,1
1592018649,1,0
1592020568,0,1
1592022505,2,0
1592027292,1,1
1592029222,0,2
1592031128,2,0
1592033048,2,3
1592034981,0,1
1592036887,0,1
1592039775,2,1
1592041695,1,1
1592047449,0,3
1592049382,3,1
1592054171,2,1
1592056090,1,1
1592058049,3,2
1592059930,1,3
1592061865,0,1
1592065688,1,0
1592068572,2,0
1592072408,0,1
1592074328,3,0
1592076268,1,0
1592078183,0,1
1592080332,0,1
1592082261,1,1
1592084182,0,2
1592091851,1,1
1592099530,0,1
1592103372,1,1
1592105537,3,0
1592108412,2,2
1592110333,1,0
1592112283,2,0
1592114191,0,1
1592116091,3,1
1592118976,0,3
1592120908,1,1
1592122852,1,0
1592124731,1,1
1592126672,0,1
1592128573,0,1
1592134337,1,1
1592136503,0,2
1592138657,3,0
1592140661,1,2
1592143001,1,4
1592147769,4,3
1592149746,1,0
1592151617,1,0
1592153535,1,3
1592155470,2,0
1592161401,1,3
1592163381,0,1
1592169148,1,1
1592171050,2,0
1592172974,2,0
1592174905,1,0
1592178732,0,1
1592180669,1,0
1592187384,1,0
1592189293,1,1
1592191210,1,2
1592193145,2,1
1592195053,1,1
1592196968,2,1
1592198906,0,2
1592200916,2,0
1592202748,1,3
1592204723,1,0
1592208514,1,1
1592212330,0,1
1592214267,0,1
1592216203,1,0
1592218091,1,0
1592221931,0,1
1592223865,0,1
1592225794,1,2
1592227686,0,1
1592230568,3,1
1592232577,2,2
1592234569,0,3
1592236588,2,0
1592238491,1,1
1592240454,1,2
1592242353,2,1
1592246170,1,0
1592248110,0,1
1592252177,1,0
1592254094,1,1
1592256047,1,0
1592257937,1,2
1592259853,0,2
1592261791,1,2
1592266572,2,1
1592268490,2,0
1592272587,1,0
1592274494,0,2
1592276434,0,1
1592278349,3,2
1592280272,2,0
1592282169,1,1
1592284130,0,2
1592287959,2,3
1592289850,1,0
1592291782,0,1
1592295617,3,0
1592297550,1,0
1592303291,1,2
1592305302,2,0
1592307136,1,0
1592310990,1,0
1592312912,1,1
1592314816,1,2
1592318678,1,3
1592320573,2,0
1592322510,0,2
1592324419,1,1
1592328269,0,2
1592330169,0,1
1592332413,5,2
1592334304,1,0
1592336175,2,0
1592338106,3,1
1592340030,1,0
1592341930,0,1
1592343868,0,2
1592347698,1,0
1592351529,1,1
1592353479,1,2
1592355371,2,1
1592357321,0,1
1592359357,1,0
1592363294,1,0
1592365209,0,3
1592367157,1,1
1592369049,3,1
1592370969,1,0
1592372935,2,0
1592374809,1,2
1592376755,1,1
1592378649,1,0
1592382529,0,4
1592384432,1,0
1592388273,1,0
1592390418,0,1
1592392332,0,3
1592394281,1,1
1592398114,1,2
1592400008,0,1
1592401951,1,0
1592403877,2,0
1592405769,0,1
1592407688,0,1
1592410816,0,1
1592418489,0,4
1592421399,1,2
1592423312,2,2
1592425213,1,2
1592427134,0,2
1592431005,2,0
1592435769,0,1
1592437692,1,2
1592439646,2,1
1592441535,0,2
1592443452,2,0
1592445407,1,1
1592450171,0,1
1592452088,3,0
1592454027,0,2
1592455936,0,1
1592457854,0,2
1592459804,1,2
1592461691,1,0
1592463722,0,2
1592467463,2,0
1592471297,1,1
1592475150,1,1
1592477050,2,0
1592478983,2,0
1592480906,1,1
1592482810,2,0
1592484731,1,1
1592488570,1,1
1592490736,0,1
1592492902,1,0
1592498657,1,0
1592500570,1,0
1592506328,2,1
1592508270,1,0
1592510174,1,2
1592512091,0,1
1592514257,2,0
1592516285,1,2
1592518095,1,0
1592520013,2,0
1592521981,3,0
1592523853,1,1
1592525798,1,2
1592529614,0,1
1592531551,0,3
1592533458,2,0
1592535386,1,0
1592537309,0,1
1592539376,2,1
1592541176,1,0
1592545037,0,1
1592547023,3,1
1592548855,1,0
1592552680,3,0
1592554576,1,2
1592556548,1,1
1592562262,0,2
1592564199,0,2
1592566095,0,2
1592568178,0,1
1592570167,3,1
1592572107,0,1
1592574028,2,0
1592575928,0,1
1592577867,1,1
1592579767,0,1
1592581934,2,0
1592583851,3,0
1592585786,0,2
1592587689,4,0
1592590618,1,0
1592592499,1,2
1592594428,2,1
1592596367,1,1
1592600187,0,2
1592602087,1,1
1592605948,1,3
1592607865,0,2
1592609767,1,2
1592611715,0,2
1592617484,2,0
1592619372,0,2
1592621312,0,1
1592623207,1,0
1592625126,0,1
1592627074,1,1
1592628973,0,1
1592632858,1,2
1592634736,0,1
1592636673,1,0
1592638570,1,2
1592640736,0,1
1592642649,1,0
1592644591,1,1
1592648449,1,0
1592650328,3,2
1592654190,3,0
1592656118,0,1
1592658072,2,2
1592660510,0,2
1592662377,2,0
1592664272,2,1
1592666726,1,0
1592668579,1,4
1592670509,1,3
1592673388,0,2
1592675288,0,1
1592677232,2,1
1592679149,3,2
1592681051,0,1
1592682968,0,1
1592686868,1,0
1592688762,3,1
1592690653,1,0
1592694514,1,0
1592696414,0,1
1592698335,1,0
1592700268,1,0
1592704091,1,2
1592706026,1,0
1592709849,2,2
1592712173,1,0
1592714191,0,2
1592716084,2,0
1592718015,1,0
1592719953,0,1
1592721850,0,1
1592723771,0,1
1592725723,1,0
1592727609,1,0
1592729530,2,1
1592731471,1,1
